config,person,ok,byte_errors
vote5,Mahathir_Mohamad,1,17
vote5,Mahathir_Mohamad,1,16
single,Mahmoud_Abbas,0,30
single,Mahmoud_Abbas,0,29
single,Mahmoud_Abbas,1,28
single,Mahmoud_Abbas,0,31
vote5,Mahmoud_Abbas,1,14
vote5,Mahmoud_Abbas,1,23
vote5,Mahmoud_Abbas,1,16
vote5,Mahmoud_Abbas,1,14
vote5,Mahmoud_Abbas,1,21
single,Marcelo_Rios,0,29
single,Marcelo_Rios,1,27
single,Marcelo_Rios,1,27
single,Marcelo_Rios,0,32
vote5,Marcelo_Rios,1,15
vote5,Marcelo_Rios,1,18
vote5,Marcelo_Rios,1,9
vote5,Marcelo_Rios,1,11
vote5,Marcelo_Rios,1,17
single,Marco_Antonio_Barrera,0,30
single,Marco_Antonio_Barrera,0,31
single,Marco_Antonio_Barrera,0,32
single,Marco_Antonio_Barrera,0,32
vote5,Marco_Antonio_Barrera,1,21
vote5,Marco_Antonio_Barrera,1,4
vote5,Marco_Antonio_Barrera,1,17
vote5,Marco_Antonio_Barrera,1,17
vote5,Marco_Antonio_Barrera,1,19
single,Maria_Shriver,0,30
single,Maria_Shriver,0,30
single,Maria_Shriver,0,31
single,Maria_Shriver,0,32
vote5,Maria_Shriver,1,18
vote5,Maria_Shriver,1,15
vote5,Maria_Shriver,1,10
vote5,Maria_Shriver,1,16
vote5,Maria_Shriver,1,19
single,Maria_Soledad_Alvear_Valenzuela,0,30
single,Maria_Soledad_Alvear_Valenzuela,0,30
single,Maria_Soledad_Alvear_Valenzuela,0,31
single,Maria_Soledad_Alvear_Valenzuela,1,28
vote5,Maria_Soledad_Alvear_Valenzuela,1,17
vote5,Maria_Soledad_Alvear_Valenzuela,1,23
vote5,Maria_Soledad_Alvear_Valenzuela,1,14
vote5,Maria_Soledad_Alvear_Valenzuela,1,12
vote5,Maria_Soledad_Alvear_Valenzuela,1,11
single,Mariah_Carey,0,30
single,Mariah_Carey,0,30
single,Mariah_Carey,0,29
single,Mariah_Carey,0,32
vote5,Mariah_Carey,1,14
vote5,Mariah_Carey,1,16
vote5,Mariah_Carey,1,16
vote5,Mariah_Carey,1,15
vote5,Mariah_Carey,1,13
single,Mark_Hurlbert,0,29
single,Mark_Hurlbert,1,28
single,Mark_Hurlbert,0,32
single,Mark_Hurlbert,1,28
vote5,Mark_Hurlbert,1,15
vote5,Mark_Hurlbert,1,10
vote5,Mark_Hurlbert,1,11
vote5,Mark_Hurlbert,0,32
vote5,Mark_Hurlbert,1,15
single,Mark_Philippoussis,1,28
single,Mark_Philippoussis,0,31
single,Mark_Philippoussis,0,31
single,Mark_Philippoussis,0,30
vote5,Mark_Philippoussis,1,18
vote5,Mark_Philippoussis,1,14
vote5,Mark_Philippoussis,1,14
vote5,Mark_Philippoussis,1,23
vote5,Mark_Philippoussis,1,16
single,Martha_Stewart,0,32
single,Martha_Stewart,0,31
single,Martha_Stewart,0,31
single,Martha_Stewart,0,32
vote5,Martha_Stewart,1,27
vote5,Martha_Stewart,1,11
vote5,Martha_Stewart,1,10
vote5,Martha_Stewart,1,7
vote5,Martha_Stewart,1,15
single,Martin_McGuinness,1,26
single,Martin_McGuinness,1,26
single,Martin_McGuinness,0,29
single,Martin_McGuinness,0,29
vote5,Martin_McGuinness,1,11
vote5,Martin_McGuinness,1,18
vote5,Martin_McGuinness,1,11
vote5,Martin_McGuinness,1,15
vote5,Martin_McGuinness,1,21
single,Martin_Scorsese,1,24
single,Martin_Scorsese,1,28
single,Martin_Scorsese,0,30
single,Martin_Scorsese,1,28
vote5,Martin_Scorsese,1,15
vote5,Martin_Scorsese,1,15
vote5,Martin_Scorsese,1,17
vote5,Martin_Scorsese,1,13
vote5,Martin_Scorsese,1,10
single,Martina_McBride,1,28
single,Martina_McBride,0,30
single,Martina_McBride,1,27
single,Martina_McBride,0,30
vote5,Martina_McBride,1,18
vote5,Martina_McBride,1,18
vote5,Martina_McBride,1,15
vote5,Martina_McBride,1,11
vote5,Martina_McBride,1,16
single,Matthew_Perry,0,30
single,Matthew_Perry,0,32
single,Matthew_Perry,1,27
single,Matthew_Perry,0,32
vote5,Matthew_Perry,1,14
vote5,Matthew_Perry,1,8
vote5,Matthew_Perry,1,24
vote5,Matthew_Perry,1,14
vote5,Matthew_Perry,1,28
single,Megawati_Sukarnoputri,0,32
single,Megawati_Sukarnoputri,0,32
single,Megawati_Sukarnoputri,0,30
single,Megawati_Sukarnoputri,0,29
vote5,Megawati_Sukarnoputri,1,26
vote5,Megawati_Sukarnoputri,1,16
vote5,Megawati_Sukarnoputri,1,15
vote5,Megawati_Sukarnoputri,1,12
vote5,Megawati_Sukarnoputri,1,11
single,Meryl_Streep,1,27
single,Meryl_Streep,0,30
single,Meryl_Streep,1,28
single,Meryl_Streep,1,28
vote5,Meryl_Streep,1,14
vote5,Meryl_Streep,1,13
vote5,Meryl_Streep,1,17
vote5,Meryl_Streep,1,18
vote5,Meryl_Streep,1,13
single,Michael_Bloomberg,0,29
single,Michael_Bloomberg,0,31
single,Michael_Bloomberg,0,30
single,Michael_Bloomberg,0,29
vote5,Michael_Bloomberg,1,15
vote5,Michael_Bloomberg,1,9
vote5,Michael_Bloomberg,1,15
vote5,Michael_Bloomberg,1,17
vote5,Michael_Bloomberg,1,15
single,Michael_Chang,0,31
single,Michael_Chang,0,30
single,Michael_Chang,1,27
single,Michael_Chang,0,31
vote5,Michael_Chang,1,23
vote5,Michael_Chang,1,9
vote5,Michael_Chang,1,19
vote5,Michael_Chang,1,16
vote5,Michael_Chang,1,24
single,Michael_Chiklis,1,28
single,Michael_Chiklis,0,29
single,Michael_Chiklis,1,28
single,Michael_Chiklis,0,29
vote5,Michael_Chiklis,1,6
vote5,Michael_Chiklis,1,12
vote5,Michael_Chiklis,1,22
vote5,Michael_Chiklis,1,19
vote5,Michael_Chiklis,1,18
single,Michael_Douglas,0,31
single,Michael_Douglas,0,30
single,Michael_Douglas,0,30
single,Michael_Douglas,1,27
vote5,Michael_Douglas,1,14
vote5,Michael_Douglas,1,15
vote5,Michael_Douglas,1,16
vote5,Michael_Douglas,1,18
vote5,Michael_Douglas,1,10
single,Michael_Phelps,0,30
single,Michael_Phelps,0,32
single,Michael_Phelps,0,31
single,Michael_Phelps,0,32
vote5,Michael_Phelps,1,17
vote5,Michael_Phelps,1,18
vote5,Michael_Phelps,1,14
vote5,Michael_Phelps,1,7
vote5,Michael_Phelps,1,15
single,Michael_Powell,0,31
single,Michael_Powell,0,30
single,Michael_Powell,0,31
single,Michael_Powell,0,31
vote5,Michael_Powell,1,23
vote5,Michael_Powell,1,11
vote5,Michael_Powell,1,17
vote5,Michael_Powell,1,14
vote5,Michael_Powell,1,22
single,Michael_Schumacher,0,31
single,Michael_Schumacher,1,27
single,Michael_Schumacher,0,30
single,Michael_Schumacher,0,29
vote5,Michael_Schumacher,1,12
vote5,Michael_Schumacher,1,18
vote5,Michael_Schumacher,1,19
vote5,Michael_Schumacher,1,17
vote5,Michael_Schumacher,1,18
single,Michelle_Kwan,0,30
single,Michelle_Kwan,0,30
single,Michelle_Kwan,0,32
single,Michelle_Kwan,0,31
vote5,Michelle_Kwan,1,16
vote5,Michelle_Kwan,1,23
vote5,Michelle_Kwan,1,16
vote5,Michelle_Kwan,1,17
vote5,Michelle_Kwan,1,14
single,Michelle_Yeoh,0,31
single,Michelle_Yeoh,0,31
single,Michelle_Yeoh,0,31
single,Michelle_Yeoh,0,32
vote5,Michelle_Yeoh,1,16
vote5,Michelle_Yeoh,1,20
vote5,Michelle_Yeoh,1,12
vote5,Michelle_Yeoh,1,14
vote5,Michelle_Yeoh,1,17
single,Mick_Jagger,1,26
single,Mick_Jagger,1,28
single,Mick_Jagger,0,30
single,Mick_Jagger,1,27
vote5,Mick_Jagger,1,10
vote5,Mick_Jagger,1,20
vote5,Mick_Jagger,1,12
vote5,Mick_Jagger,1,18
vote5,Mick_Jagger,1,14
single,Mike_Krzyzewski,0,29
single,Mike_Krzyzewski,1,28
single,Mike_Krzyzewski,0,31
single,Mike_Krzyzewski,0,29
vote5,Mike_Krzyzewski,1,12
vote5,Mike_Krzyzewski,1,15
vote5,Mike_Krzyzewski,1,16
vote5,Mike_Krzyzewski,1,17
vote5,Mike_Krzyzewski,1,22
single,Mike_Martz,0,30
single,Mike_Martz,1,28
single,Mike_Martz,1,26
single,Mike_Martz,1,23
vote5,Mike_Martz,1,7
vote5,Mike_Martz,1,15
vote5,Mike_Martz,1,22
vote5,Mike_Martz,1,13
vote5,Mike_Martz,1,8
single,Mike_Myers,1,28
single,Mike_Myers,0,30
single,Mike_Myers,1,26
single,Mike_Myers,0,29
vote5,Mike_Myers,1,18
vote5,Mike_Myers,1,15
vote5,Mike_Myers,1,18
vote5,Mike_Myers,1,10
vote5,Mike_Myers,1,22
single,Mike_Weir,0,32
single,Mike_Weir,0,30
single,Mike_Weir,0,31
single,Mike_Weir,0,31
vote5,Mike_Weir,1,17
vote5,Mike_Weir,1,12
vote5,Mike_Weir,1,17
vote5,Mike_Weir,1,15
vote5,Mike_Weir,1,12
single,Mireya_Moscoso,0,32
single,Mireya_Moscoso,0,30
single,Mireya_Moscoso,0,32
single,Mireya_Moscoso,0,29
vote5,Mireya_Moscoso,1,25
vote5,Mireya_Moscoso,1,6
vote5,Mireya_Moscoso,1,14
vote5,Mireya_Moscoso,1,16
vote5,Mireya_Moscoso,1,16
single,Mohamed_ElBaradei,0,31
single,Mohamed_ElBaradei,0,32
single,Mohamed_ElBaradei,0,31
single,Mohamed_ElBaradei,0,31
vote5,Mohamed_ElBaradei,1,19
vote5,Mohamed_ElBaradei,1,16
vote5,Mohamed_ElBaradei,1,9
vote5,Mohamed_ElBaradei,1,17
vote5,Mohamed_ElBaradei,1,16
single,Mohammad_Khatami,0,30
single,Mohammad_Khatami,0,30
single,Mohammad_Khatami,0,29
single,Mohammad_Khatami,1,28
vote5,Mohammad_Khatami,1,15
vote5,Mohammad_Khatami,1,13
vote5,Mohammad_Khatami,1,15
vote5,Mohammad_Khatami,1,18
vote5,Mohammad_Khatami,1,13
single,Mohammed_Al-Douri,0,29
single,Mohammed_Al-Douri,0,29
single,Mohammed_Al-Douri,0,31
single,Mohammed_Al-Douri,1,25
vote5,Mohammed_Al-Douri,1,12
vote5,Mohammed_Al-Douri,1,20
vote5,Mohammed_Al-Douri,1,16
vote5,Mohammed_Al-Douri,1,16
vote5,Mohammed_Al-Douri,1,11
single,Monica_Seles,0,32
single,Monica_Seles,0,32
single,Monica_Seles,0,32
single,Monica_Seles,0,31
vote5,Monica_Seles,1,26
vote5,Monica_Seles,1,11
vote5,Monica_Seles,1,19
vote5,Monica_Seles,1,8
vote5,Monica_Seles,1,8
single,Muhammad_Ali,0,30
single,Muhammad_Ali,0,31
single,Muhammad_Ali,0,31
single,Muhammad_Ali,0,32
vote5,Muhammad_Ali,1,24
vote5,Muhammad_Ali,1,17
vote5,Muhammad_Ali,1,15
vote5,Muhammad_Ali,1,8
vote5,Muhammad_Ali,1,13
single,Muhammad_Saeed_al-Sahhaf,1,27
single,Muhammad_Saeed_al-Sahhaf,0,30
single,Muhammad_Saeed_al-Sahhaf,0,31
single,Muhammad_Saeed_al-Sahhaf,0,31
vote5,Muhammad_Saeed_al-Sahhaf,1,16
vote5,Muhammad_Saeed_al-Sahhaf,1,12
vote5,Muhammad_Saeed_al-Sahhaf,1,20
vote5,Muhammad_Saeed_al-Sahhaf,1,18
vote5,Muhammad_Saeed_al-Sahhaf,1,17
single,Naji_Sabri,0,32
single,Naji_Sabri,0,29
single,Naji_Sabri,0,29
single,Naji_Sabri,1,24
vote5,Naji_Sabri,1,11
vote5,Naji_Sabri,0,31
vote5,Naji_Sabri,1,10
vote5,Naji_Sabri,1,16
vote5,Naji_Sabri,1,2
single,Nancy_Pelosi,1,28
single,Nancy_Pelosi,1,28
single,Nancy_Pelosi,1,26
single,Nancy_Pelosi,0,30
vote5,Nancy_Pelosi,1,15
vote5,Nancy_Pelosi,1,15
vote5,Nancy_Pelosi,1,13
vote5,Nancy_Pelosi,1,16
vote5,Nancy_Pelosi,1,13
single,Naomi_Watts,0,31
single,Naomi_Watts,0,32
single,Naomi_Watts,0,29
single,Naomi_Watts,0,31
vote5,Naomi_Watts,1,16
vote5,Naomi_Watts,1,13
vote5,Naomi_Watts,1,25
vote5,Naomi_Watts,1,10
vote5,Naomi_Watts,1,21
single,Natalie_Coughlin,0,29
single,Natalie_Coughlin,0,32
single,Natalie_Coughlin,0,32
single,Natalie_Coughlin,0,32
vote5,Natalie_Coughlin,1,24
vote5,Natalie_Coughlin,1,17
vote5,Natalie_Coughlin,1,20
vote5,Natalie_Coughlin,1,12
vote5,Natalie_Coughlin,1,7
single,Natalie_Maines,0,32
single,Natalie_Maines,1,28
single,Natalie_Maines,0,31
single,Natalie_Maines,1,27
vote5,Natalie_Maines,1,13
vote5,Natalie_Maines,1,20
vote5,Natalie_Maines,1,14
vote5,Natalie_Maines,1,14
vote5,Natalie_Maines,1,14
single,Nestor_Kirchner,0,30
single,Nestor_Kirchner,0,30
single,Nestor_Kirchner,1,28
single,Nestor_Kirchner,1,27
vote5,Nestor_Kirchner,1,13
vote5,Nestor_Kirchner,1,15
vote5,Nestor_Kirchner,1,10
vote5,Nestor_Kirchner,1,14
vote5,Nestor_Kirchner,1,13
single,Nia_Vardalos,1,27
single,Nia_Vardalos,0,31
single,Nia_Vardalos,0,31
single,Nia_Vardalos,1,27
vote5,Nia_Vardalos,1,9
vote5,Nia_Vardalos,1,15
vote5,Nia_Vardalos,1,24
vote5,Nia_Vardalos,1,17
vote5,Nia_Vardalos,1,7
single,Nicanor_Duarte_Frutos,1,28
single,Nicanor_Duarte_Frutos,0,29
single,Nicanor_Duarte_Frutos,0,29
single,Nicanor_Duarte_Frutos,0,31
vote5,Nicanor_Duarte_Frutos,1,11
vote5,Nicanor_Duarte_Frutos,1,15
vote5,Nicanor_Duarte_Frutos,1,15
vote5,Nicanor_Duarte_Frutos,1,14
vote5,Nicanor_Duarte_Frutos,1,14
single,Nick_Nolte,0,29
single,Nick_Nolte,0,29
single,Nick_Nolte,1,28
single,Nick_Nolte,0,30
vote5,Nick_Nolte,1,18
vote5,Nick_Nolte,1,14
vote5,Nick_Nolte,1,10
vote5,Nick_Nolte,1,17
vote5,Nick_Nolte,1,12
single,Nicole_Kidman,0,32
single,Nicole_Kidman,1,28
single,Nicole_Kidman,1,28
single,Nicole_Kidman,0,32
vote5,Nicole_Kidman,1,14
vote5,Nicole_Kidman,1,21
vote5,Nicole_Kidman,1,14
vote5,Nicole_Kidman,1,14
vote5,Nicole_Kidman,1,17
single,Norah_Jones,0,30
single,Norah_Jones,1,28
single,Norah_Jones,0,30
single,Norah_Jones,0,31
vote5,Norah_Jones,1,20
vote5,Norah_Jones,1,16
vote5,Norah_Jones,1,19
vote5,Norah_Jones,1,10
vote5,Norah_Jones,1,18
single,Norm_Coleman,0,31
single,Norm_Coleman,1,27
single,Norm_Coleman,0,30
single,Norm_Coleman,0,29
vote5,Norm_Coleman,1,18
vote5,Norm_Coleman,1,17
vote5,Norm_Coleman,1,14
vote5,Norm_Coleman,1,14
vote5,Norm_Coleman,1,18
single,Oscar_De_La_Hoya,0,31
single,Oscar_De_La_Hoya,0,32
single,Oscar_De_La_Hoya,0,30
single,Oscar_De_La_Hoya,0,30
vote5,Oscar_De_La_Hoya,1,13
vote5,Oscar_De_La_Hoya,1,11
vote5,Oscar_De_La_Hoya,1,15
vote5,Oscar_De_La_Hoya,1,23
vote5,Oscar_De_La_Hoya,1,20
single,Oswaldo_Paya,1,23
single,Oswaldo_Paya,0,31
single,Oswaldo_Paya,0,30
single,Oswaldo_Paya,0,30
vote5,Oswaldo_Paya,1,13
vote5,Oswaldo_Paya,1,8
vote5,Oswaldo_Paya,1,19
vote5,Oswaldo_Paya,1,23
vote5,Oswaldo_Paya,1,15
single,Pamela_Anderson,0,30
single,Pamela_Anderson,0,30
single,Pamela_Anderson,0,31
single,Pamela_Anderson,0,32
vote5,Pamela_Anderson,1,25
vote5,Pamela_Anderson,1,13
vote5,Pamela_Anderson,1,14
vote5,Pamela_Anderson,1,20
vote5,Pamela_Anderson,1,20
single,Paradorn_Srichaphan,1,26
single,Paradorn_Srichaphan,0,30
single,Paradorn_Srichaphan,0,30
single,Paradorn_Srichaphan,0,30
vote5,Paradorn_Srichaphan,1,9
vote5,Paradorn_Srichaphan,1,14
vote5,Paradorn_Srichaphan,1,13
vote5,Paradorn_Srichaphan,1,23
vote5,Paradorn_Srichaphan,1,21
single,Paul_Bremer,0,30
single,Paul_Bremer,0,30
single,Paul_Bremer,0,30
single,Paul_Bremer,0,30
vote5,Paul_Bremer,1,18
vote5,Paul_Bremer,1,23
vote5,Paul_Bremer,1,17
vote5,Paul_Bremer,1,10
vote5,Paul_Bremer,1,10
single,Paul_Burrell,0,30
single,Paul_Burrell,0,30
single,Paul_Burrell,1,27
single,Paul_Burrell,1,24
vote5,Paul_Burrell,1,12
vote5,Paul_Burrell,1,17
vote5,Paul_Burrell,1,14
vote5,Paul_Burrell,1,10
vote5,Paul_Burrell,1,12
single,Paul_Martin,0,31
single,Paul_Martin,0,31
single,Paul_Martin,0,32
single,Paul_Martin,0,32
vote5,Paul_Martin,1,23
vote5,Paul_Martin,1,16
vote5,Paul_Martin,1,18
vote5,Paul_Martin,1,14
vote5,Paul_Martin,1,17
single,Paul_McCartney,0,31
single,Paul_McCartney,1,28
single,Paul_McCartney,1,28
single,Paul_McCartney,1,26
vote5,Paul_McCartney,1,9
vote5,Paul_McCartney,1,15
vote5,Paul_McCartney,1,14
vote5,Paul_McCartney,1,9
vote5,Paul_McCartney,1,13
single,Paul_ONeill,1,25
single,Paul_ONeill,0,29
single,Paul_ONeill,1,27
single,Paul_ONeill,0,31
vote5,Paul_ONeill,1,12
vote5,Paul_ONeill,1,8
vote5,Paul_ONeill,1,9
vote5,Paul_ONeill,1,13
vote5,Paul_ONeill,1,12
single,Paul_Wolfowitz,0,30
single,Paul_Wolfowitz,1,28
single,Paul_Wolfowitz,0,29
single,Paul_Wolfowitz,0,30
vote5,Paul_Wolfowitz,1,15
vote5,Paul_Wolfowitz,1,12
vote5,Paul_Wolfowitz,1,16
vote5,Paul_Wolfowitz,1,20
vote5,Paul_Wolfowitz,1,12
single,Paula_Radcliffe,1,28
single,Paula_Radcliffe,0,30
single,Paula_Radcliffe,0,31
single,Paula_Radcliffe,0,31
vote5,Paula_Radcliffe,1,11
vote5,Paula_Radcliffe,1,8
vote5,Paula_Radcliffe,1,19
vote5,Paula_Radcliffe,0,30
vote5,Paula_Radcliffe,1,19
single,Pedro_Almodovar,1,26
single,Pedro_Almodovar,0,31
single,Pedro_Almodovar,0,30
single,Pedro_Almodovar,1,26
vote5,Pedro_Almodovar,1,13
vote5,Pedro_Almodovar,1,19
vote5,Pedro_Almodovar,1,23
vote5,Pedro_Almodovar,1,15
vote5,Pedro_Almodovar,1,12
single,Pedro_Malan,0,32
single,Pedro_Malan,0,30
single,Pedro_Malan,0,30
single,Pedro_Malan,0,32
vote5,Pedro_Malan,1,16
vote5,Pedro_Malan,1,18
vote5,Pedro_Malan,1,14
vote5,Pedro_Malan,1,11
vote5,Pedro_Malan,1,22
single,Pervez_Musharraf,1,27
single,Pervez_Musharraf,1,28
single,Pervez_Musharraf,0,30
single,Pervez_Musharraf,0,29
vote5,Pervez_Musharraf,1,15
vote5,Pervez_Musharraf,1,18
vote5,Pervez_Musharraf,1,9
vote5,Pervez_Musharraf,1,16
vote5,Pervez_Musharraf,1,13
single,Pete_Sampras,1,28
single,Pete_Sampras,1,28
single,Pete_Sampras,1,27
single,Pete_Sampras,1,28
vote5,Pete_Sampras,1,11
vote5,Pete_Sampras,1,14
vote5,Pete_Sampras,1,17
vote5,Pete_Sampras,1,13
vote5,Pete_Sampras,1,19
single,Peter_Struck,0,30
single,Peter_Struck,0,32
single,Peter_Struck,0,29
single,Peter_Struck,0,30
vote5,Peter_Struck,1,11
vote5,Peter_Struck,1,15
vote5,Peter_Struck,1,25
vote5,Peter_Struck,1,11
vote5,Peter_Struck,1,21
single,Pierce_Brosnan,0,30
single,Pierce_Brosnan,0,30
single,Pierce_Brosnan,1,28
single,Pierce_Brosnan,0,31
vote5,Pierce_Brosnan,1,22
vote5,Pierce_Brosnan,1,15
vote5,Pierce_Brosnan,1,14
vote5,Pierce_Brosnan,1,13
vote5,Pierce_Brosnan,1,16
single,Prince_Charles,1,27
single,Prince_Charles,1,28
single,Prince_Charles,0,29
single,Prince_Charles,0,30
vote5,Prince_Charles,1,9
vote5,Prince_Charles,1,18
vote5,Prince_Charles,1,14
vote5,Prince_Charles,1,13
vote5,Prince_Charles,1,18
single,Princess_Caroline,0,29
single,Princess_Caroline,0,31
single,Princess_Caroline,1,27
single,Princess_Caroline,0,32
vote5,Princess_Caroline,1,11
vote5,Princess_Caroline,1,12
vote5,Princess_Caroline,1,20
vote5,Princess_Caroline,1,9
vote5,Princess_Caroline,0,29
single,Queen_Elizabeth_II,0,31
single,Queen_Elizabeth_II,1,28
single,Queen_Elizabeth_II,0,30
single,Queen_Elizabeth_II,0,29
vote5,Queen_Elizabeth_II,1,17
vote5,Queen_Elizabeth_II,1,26
vote5,Queen_Elizabeth_II,1,13
vote5,Queen_Elizabeth_II,1,15
vote5,Queen_Elizabeth_II,1,9
single,Queen_Rania,0,30
single,Queen_Rania,0,29
single,Queen_Rania,0,29
single,Queen_Rania,0,31
vote5,Queen_Rania,1,11
vote5,Queen_Rania,1,12
vote5,Queen_Rania,1,12
vote5,Queen_Rania,1,21
vote5,Queen_Rania,1,17
single,Rainer_Schuettler,0,30
single,Rainer_Schuettler,0,32
single,Rainer_Schuettler,0,32
single,Rainer_Schuettler,0,30
vote5,Rainer_Schuettler,1,18
vote5,Rainer_Schuettler,1,11
vote5,Rainer_Schuettler,1,23
vote5,Rainer_Schuettler,1,21
vote5,Rainer_Schuettler,1,15
single,Ralf_Schumacher,0,32
single,Ralf_Schumacher,1,28
single,Ralf_Schumacher,0,30
single,Ralf_Schumacher,0,32
vote5,Ralf_Schumacher,1,15
vote5,Ralf_Schumacher,1,25
vote5,Ralf_Schumacher,1,16
vote5,Ralf_Schumacher,1,17
vote5,Ralf_Schumacher,1,22
single,Ray_Romano,0,30
single,Ray_Romano,1,26
single,Ray_Romano,1,25
single,Ray_Romano,1,28
vote5,Ray_Romano,1,11
vote5,Ray_Romano,1,9
vote5,Ray_Romano,1,14
vote5,Ray_Romano,1,9
vote5,Ray_Romano,1,20
single,Recep_Tayyip_Erdogan,1,20
single,Recep_Tayyip_Erdogan,1,25
single,Recep_Tayyip_Erdogan,0,30
single,Recep_Tayyip_Erdogan,1,22
vote5,Recep_Tayyip_Erdogan,1,7
vote5,Recep_Tayyip_Erdogan,1,8
vote5,Recep_Tayyip_Erdogan,1,12
vote5,Recep_Tayyip_Erdogan,0,31
vote5,Recep_Tayyip_Erdogan,1,15
single,Renee_Zellweger,0,30
single,Renee_Zellweger,0,32
single,Renee_Zellweger,0,32
single,Renee_Zellweger,0,32
vote5,Renee_Zellweger,1,14
vote5,Renee_Zellweger,1,12
vote5,Renee_Zellweger,1,17
vote5,Renee_Zellweger,1,16
vote5,Renee_Zellweger,1,20
single,Ricardo_Lagos,1,27
single,Ricardo_Lagos,1,26
single,Ricardo_Lagos,0,29
single,Ricardo_Lagos,0,30
vote5,Ricardo_Lagos,1,14
vote5,Ricardo_Lagos,1,12
vote5,Ricardo_Lagos,1,11
vote5,Ricardo_Lagos,1,17
vote5,Ricardo_Lagos,1,25
single,Ricardo_Sanchez,0,29
single,Ricardo_Sanchez,0,31
single,Ricardo_Sanchez,1,27
single,Ricardo_Sanchez,0,29
vote5,Ricardo_Sanchez,1,19
vote5,Ricardo_Sanchez,1,10
vote5,Ricardo_Sanchez,1,19
vote5,Ricardo_Sanchez,1,17
vote5,Ricardo_Sanchez,1,14
single,Richard_Armitage,0,30
single,Richard_Armitage,0,30
single,Richard_Armitage,0,30
single,Richard_Armitage,1,27
vote5,Richard_Armitage,1,12
vote5,Richard_Armitage,1,16
vote5,Richard_Armitage,1,20
vote5,Richard_Armitage,1,21
vote5,Richard_Armitage,1,13
single,Richard_Gephardt,0,30
single,Richard_Gephardt,1,25
single,Richard_Gephardt,1,28
single,Richard_Gephardt,1,27
vote5,Richard_Gephardt,1,14
vote5,Richard_Gephardt,1,18
vote5,Richard_Gephardt,1,11
vote5,Richard_Gephardt,1,10
vote5,Richard_Gephardt,1,14
single,Richard_Gere,0,31
single,Richard_Gere,0,30
single,Richard_Gere,0,30
single,Richard_Gere,0,32
vote5,Richard_Gere,1,21
vote5,Richard_Gere,1,13
vote5,Richard_Gere,1,19
vote5,Richard_Gere,1,10
vote5,Richard_Gere,1,14
single,Richard_Virenque,0,29
single,Richard_Virenque,0,32
single,Richard_Virenque,0,29
single,Richard_Virenque,0,32
vote5,Richard_Virenque,1,18
vote5,Richard_Virenque,1,15
vote5,Richard_Virenque,1,20
vote5,Richard_Virenque,1,15
vote5,Richard_Virenque,1,14
single,Rick_Perry,0,31
single,Rick_Perry,0,29
single,Rick_Perry,0,30
single,Rick_Perry,0,29
vote5,Rick_Perry,1,15
vote5,Rick_Perry,1,20
vote5,Rick_Perry,1,11
vote5,Rick_Perry,1,6
vote5,Rick_Perry,1,20
single,Rob_Marshall,1,28
single,Rob_Marshall,1,28
single,Rob_Marshall,1,27
single,Rob_Marshall,1,28
vote5,Rob_Marshall,1,16
vote5,Rob_Marshall,1,11
vote5,Rob_Marshall,1,8
vote5,Rob_Marshall,1,8
vote5,Rob_Marshall,1,9
single,Robert_Blake,0,29
single,Robert_Blake,0,29
single,Robert_Blake,0,29
single,Robert_Blake,1,27
vote5,Robert_Blake,1,19
vote5,Robert_Blake,1,7
vote5,Robert_Blake,1,16
vote5,Robert_Blake,1,9
vote5,Robert_Blake,1,15
single,Robert_De_Niro,0,31
single,Robert_De_Niro,0,30
single,Robert_De_Niro,0,30
single,Robert_De_Niro,0,32
vote5,Robert_De_Niro,1,11
vote5,Robert_De_Niro,1,15
vote5,Robert_De_Niro,1,12
vote5,Robert_De_Niro,1,19
vote5,Robert_De_Niro,1,22
single,Robert_Duvall,1,25
single,Robert_Duvall,1,23
single,Robert_Duvall,1,27
single,Robert_Duvall,0,29
vote5,Robert_Duvall,1,11
vote5,Robert_Duvall,1,9
vote5,Robert_Duvall,1,11
vote5,Robert_Duvall,1,13
vote5,Robert_Duvall,1,14
single,Robert_Kocharian,1,25
single,Robert_Kocharian,0,30
single,Robert_Kocharian,0,30
single,Robert_Kocharian,1,27
vote5,Robert_Kocharian,1,13
vote5,Robert_Kocharian,1,12
vote5,Robert_Kocharian,1,18
vote5,Robert_Kocharian,1,15
vote5,Robert_Kocharian,1,12
single,Robert_Mueller,0,31
single,Robert_Mueller,1,27
single,Robert_Mueller,1,25
single,Robert_Mueller,1,28
vote5,Robert_Mueller,1,12
vote5,Robert_Mueller,1,14
vote5,Robert_Mueller,1,14
vote5,Robert_Mueller,1,8
vote5,Robert_Mueller,1,15
single,Robert_Redford,1,25
single,Robert_Redford,0,29
single,Robert_Redford,0,29
single,Robert_Redford,1,21
vote5,Robert_Redford,1,6
vote5,Robert_Redford,1,17
vote5,Robert_Redford,1,20
vote5,Robert_Redford,1,26
vote5,Robert_Redford,1,6
single,Robert_Zoellick,0,30
single,Robert_Zoellick,1,27
single,Robert_Zoellick,0,29
single,Robert_Zoellick,0,31
vote5,Robert_Zoellick,1,19
vote5,Robert_Zoellick,1,12
vote5,Robert_Zoellick,1,10
vote5,Robert_Zoellick,1,8
vote5,Robert_Zoellick,1,21
single,Roger_Federer,0,30
single,Roger_Federer,0,29
