theta,person,ok
30,Alejandro_Toledo,0
32,Alejandro_Toledo,0
34,Alejandro_Toledo,0
36,Alejandro_Toledo,0
38,Alejandro_Toledo,0
40,Alejandro_Toledo,0
0,Ali_Naimi,1
2,Ali_Naimi,1
4,Ali_Naimi,1
6,Ali_Naimi,1
8,Ali_Naimi,1
10,Ali_Naimi,1
12,Ali_Naimi,0
14,Ali_Naimi,0
16,Ali_Naimi,0
18,Ali_Naimi,0
20,Ali_Naimi,0
22,Ali_Naimi,0
24,Ali_Naimi,0
26,Ali_Naimi,0
28,Ali_Naimi,0
30,Ali_Naimi,0
32,Ali_Naimi,0
34,Ali_Naimi,0
36,Ali_Naimi,0
38,Ali_Naimi,0
40,Ali_Naimi,0
0,Allyson_Felix,0
2,Allyson_Felix,0
4,Allyson_Felix,0
6,Allyson_Felix,0
8,Allyson_Felix,0
10,Allyson_Felix,0
12,Allyson_Felix,0
14,Allyson_Felix,0
16,Allyson_Felix,0
18,Allyson_Felix,0
20,Allyson_Felix,0
22,Allyson_Felix,0
24,Allyson_Felix,0
26,Allyson_Felix,0
28,Allyson_Felix,0
30,Allyson_Felix,0
32,Allyson_Felix,0
34,Allyson_Felix,0
36,Allyson_Felix,0
38,Allyson_Felix,0
40,Allyson_Felix,0
0,Alvaro_Uribe,0
2,Alvaro_Uribe,0
4,Alvaro_Uribe,0
6,Alvaro_Uribe,0
8,Alvaro_Uribe,0
10,Alvaro_Uribe,0
12,Alvaro_Uribe,0
14,Alvaro_Uribe,0
16,Alvaro_Uribe,0
18,Alvaro_Uribe,0
20,Alvaro_Uribe,0
22,Alvaro_Uribe,0
24,Alvaro_Uribe,0
26,Alvaro_Uribe,0
28,Alvaro_Uribe,0
30,Alvaro_Uribe,0
32,Alvaro_Uribe,0
34,Alvaro_Uribe,0
36,Alvaro_Uribe,0
38,Alvaro_Uribe,0
40,Alvaro_Uribe,0
0,Amelia_Vega,1
2,Amelia_Vega,1
4,Amelia_Vega,1
6,Amelia_Vega,0
8,Amelia_Vega,0
10,Amelia_Vega,0
12,Amelia_Vega,0
14,Amelia_Vega,0
16,Amelia_Vega,0
18,Amelia_Vega,0
20,Amelia_Vega,0
22,Amelia_Vega,0
24,Amelia_Vega,0
26,Amelia_Vega,0
28,Amelia_Vega,0
30,Amelia_Vega,0
32,Amelia_Vega,0
34,Amelia_Vega,0
36,Amelia_Vega,0
38,Amelia_Vega,0
40,Amelia_Vega,0
0,Amelie_Mauresmo,0
2,Amelie_Mauresmo,0
4,Amelie_Mauresmo,0
6,Amelie_Mauresmo,0
8,Amelie_Mauresmo,0
10,Amelie_Mauresmo,0
12,Amelie_Mauresmo,0
14,Amelie_Mauresmo,0
16,Amelie_Mauresmo,0
18,Amelie_Mauresmo,0
20,Amelie_Mauresmo,0
22,Amelie_Mauresmo,0
24,Amelie_Mauresmo,0
26,Amelie_Mauresmo,0
28,Amelie_Mauresmo,0
30,Amelie_Mauresmo,0
32,Amelie_Mauresmo,0
34,Amelie_Mauresmo,0
36,Amelie_Mauresmo,0
38,Amelie_Mauresmo,0
40,Amelie_Mauresmo,0
0,Ana_Guevara,1
2,Ana_Guevara,1
4,Ana_Guevara,1
6,Ana_Guevara,1
8,Ana_Guevara,1
10,Ana_Guevara,0
12,Ana_Guevara,0
14,Ana_Guevara,0
16,Ana_Guevara,0
18,Ana_Guevara,0
20,Ana_Guevara,0
22,Ana_Guevara,0
24,Ana_Guevara,0
26,Ana_Guevara,0
28,Ana_Guevara,0
30,Ana_Guevara,0
32,Ana_Guevara,0
34,Ana_Guevara,0
36,Ana_Guevara,0
38,Ana_Guevara,0
40,Ana_Guevara,0
0,Ana_Palacio,0
2,Ana_Palacio,0
4,Ana_Palacio,0
6,Ana_Palacio,0
8,Ana_Palacio,0
10,Ana_Palacio,0
12,Ana_Palacio,0
14,Ana_Palacio,0
16,Ana_Palacio,0
18,Ana_Palacio,0
20,Ana_Palacio,0
22,Ana_Palacio,0
24,Ana_Palacio,0
26,Ana_Palacio,0
28,Ana_Palacio,0
30,Ana_Palacio,0
32,Ana_Palacio,0
34,Ana_Palacio,0
36,Ana_Palacio,0
38,Ana_Palacio,0
40,Ana_Palacio,0
0,Andre_Agassi,1
2,Andre_Agassi,1
4,Andre_Agassi,1
6,Andre_Agassi,1
8,Andre_Agassi,1
10,Andre_Agassi,1
12,Andre_Agassi,1
14,Andre_Agassi,1
16,Andre_Agassi,0
18,Andre_Agassi,0
20,Andre_Agassi,0
22,Andre_Agassi,0
24,Andre_Agassi,0
26,Andre_Agassi,0
28,Andre_Agassi,0
30,Andre_Agassi,0
32,Andre_Agassi,0
34,Andre_Agassi,0
36,Andre_Agassi,0
38,Andre_Agassi,0
40,Andre_Agassi,0
0,Andy_Roddick,0
2,Andy_Roddick,0
4,Andy_Roddick,0
6,Andy_Roddick,0
8,Andy_Roddick,0
10,Andy_Roddick,0
12,Andy_Roddick,0
14,Andy_Roddick,0
16,Andy_Roddick,0
18,Andy_Roddick,0
20,Andy_Roddick,0
22,Andy_Roddick,0
24,Andy_Roddick,0
26,Andy_Roddick,0
28,Andy_Roddick,0
30,Andy_Roddick,0
32,Andy_Roddick,0
34,Andy_Roddick,0
36,Andy_Roddick,0
38,Andy_Roddick,0
40,Andy_Roddick,0
0,Angela_Bassett,0
2,Angela_Bassett,0
4,Angela_Bassett,0
6,Angela_Bassett,0
8,Angela_Bassett,0
10,Angela_Bassett,0
12,Angela_Bassett,0
14,Angela_Bassett,0
16,Angela_Bassett,0
18,Angela_Bassett,0
20,Angela_Bassett,0
22,Angela_Bassett,0
24,Angela_Bassett,0
26,Angela_Bassett,0
28,Angela_Bassett,0
30,Angela_Bassett,0
32,Angela_Bassett,0
34,Angela_Bassett,0
36,Angela_Bassett,0
38,Angela_Bassett,0
40,Angela_Bassett,0
0,Angela_Merkel,0
2,Angela_Merkel,0
4,Angela_Merkel,0
6,Angela_Merkel,0
8,Angela_Merkel,0
10,Angela_Merkel,0
12,Angela_Merkel,0
14,Angela_Merkel,0
16,Angela_Merkel,0
18,Angela_Merkel,0
20,Angela_Merkel,0
22,Angela_Merkel,0
24,Angela_Merkel,0
26,Angela_Merkel,0
28,Angela_Merkel,0
30,Angela_Merkel,0
32,Angela_Merkel,0
34,Angela_Merkel,0
36,Angela_Merkel,0
38,Angela_Merkel,0
40,Angela_Merkel,0
0,Angelina_Jolie,0
2,Angelina_Jolie,0
4,Angelina_Jolie,0
6,Angelina_Jolie,0
8,Angelina_Jolie,0
10,Angelina_Jolie,0
12,Angelina_Jolie,0
14,Angelina_Jolie,0
16,Angelina_Jolie,0
18,Angelina_Jolie,0
20,Angelina_Jolie,0
22,Angelina_Jolie,0
24,Angelina_Jolie,0
26,Angelina_Jolie,0
28,Angelina_Jolie,0
30,Angelina_Jolie,0
32,Angelina_Jolie,0
34,Angelina_Jolie,0
36,Angelina_Jolie,0
38,Angelina_Jolie,0
40,Angelina_Jolie,0
0,Ann_Veneman,0
2,Ann_Veneman,0
4,Ann_Veneman,0
6,Ann_Veneman,0
8,Ann_Veneman,0
10,Ann_Veneman,0
12,Ann_Veneman,0
14,Ann_Veneman,0
16,Ann_Veneman,0
18,Ann_Veneman,0
20,Ann_Veneman,0
22,Ann_Veneman,0
24,Ann_Veneman,0
26,Ann_Veneman,0
28,Ann_Veneman,0
30,Ann_Veneman,0
32,Ann_Veneman,0
34,Ann_Veneman,0
36,Ann_Veneman,0
38,Ann_Veneman,0
40,Ann_Veneman,0
0,Anna_Kournikova,0
2,Anna_Kournikova,0
4,Anna_Kournikova,0
6,Anna_Kournikova,0
8,Anna_Kournikova,0
10,Anna_Kournikova,0
12,Anna_Kournikova,0
14,Anna_Kournikova,0
16,Anna_Kournikova,0
18,Anna_Kournikova,0
20,Anna_Kournikova,0
22,Anna_Kournikova,0
24,Anna_Kournikova,0
26,Anna_Kournikova,0
28,Anna_Kournikova,0
30,Anna_Kournikova,0
32,Anna_Kournikova,0
34,Anna_Kournikova,0
36,Anna_Kournikova,0
38,Anna_Kournikova,0
40,Anna_Kournikova,0
0,Antonio_Banderas,0
2,Antonio_Banderas,0
4,Antonio_Banderas,0
6,Antonio_Banderas,0
8,Antonio_Banderas,0
10,Antonio_Banderas,0
12,Antonio_Banderas,0
14,Antonio_Banderas,0
16,Antonio_Banderas,0
18,Antonio_Banderas,0
20,Antonio_Banderas,0
22,Antonio_Banderas,0
24,Antonio_Banderas,0
26,Antonio_Banderas,0
28,Antonio_Banderas,0
30,Antonio_Banderas,0
32,Antonio_Banderas,0
34,Antonio_Banderas,0
36,Antonio_Banderas,0
38,Antonio_Banderas,0
40,Antonio_Banderas,0
0,Antonio_Palocci,1
2,Antonio_Palocci,1
4,Antonio_Palocci,1
6,Antonio_Palocci,0
8,Antonio_Palocci,0
10,Antonio_Palocci,0
12,Antonio_Palocci,0
14,Antonio_Palocci,0
16,Antonio_Palocci,0
18,Antonio_Palocci,0
20,Antonio_Palocci,0
22,Antonio_Palocci,0
24,Antonio_Palocci,0
26,Antonio_Palocci,0
28,Antonio_Palocci,0
30,Antonio_Palocci,0
32,Antonio_Palocci,0
34,Antonio_Palocci,0
36,Antonio_Palocci,0
38,Antonio_Palocci,0
40,Antonio_Palocci,0
0,Ari_Fleischer,0
2,Ari_Fleischer,0
4,Ari_Fleischer,0
6,Ari_Fleischer,0
8,Ari_Fleischer,0
10,Ari_Fleischer,0
12,Ari_Fleischer,0
14,Ari_Fleischer,0
16,Ari_Fleischer,0
18,Ari_Fleischer,0
20,Ari_Fleischer,0
22,Ari_Fleischer,0
24,Ari_Fleischer,0
26,Ari_Fleischer,0
28,Ari_Fleischer,0
30,Ari_Fleischer,0
32,Ari_Fleischer,0
34,Ari_Fleischer,0
36,Ari_Fleischer,0
38,Ari_Fleischer,0
40,Ari_Fleischer,0
0,Ariel_Sharon,0
2,Ariel_Sharon,0
4,Ariel_Sharon,0
6,Ariel_Sharon,0
8,Ariel_Sharon,0
10,Ariel_Sharon,0
12,Ariel_Sharon,0
14,Ariel_Sharon,0
16,Ariel_Sharon,0
18,Ariel_Sharon,0
20,Ariel_Sharon,0
22,Ariel_Sharon,0
24,Ariel_Sharon,0
26,Ariel_Sharon,0
28,Ariel_Sharon,0
30,Ariel_Sharon,0
32,Ariel_Sharon,0
34,Ariel_Sharon,0
36,Ariel_Sharon,0
38,Ariel_Sharon,0
40,Ariel_Sharon,0
0,Arminio_Fraga,0
2,Arminio_Fraga,0
4,Arminio_Fraga,0
6,Arminio_Fraga,0
8,Arminio_Fraga,0
10,Arminio_Fraga,0
12,Arminio_Fraga,0
14,Arminio_Fraga,0
16,Arminio_Fraga,0
18,Arminio_Fraga,0
20,Arminio_Fraga,0
22,Arminio_Fraga,0
24,Arminio_Fraga,0
26,Arminio_Fraga,0
28,Arminio_Fraga,0
30,Arminio_Fraga,0
32,Arminio_Fraga,0
34,Arminio_Fraga,0
36,Arminio_Fraga,0
38,Arminio_Fraga,0
40,Arminio_Fraga,0
0,Arnold_Schwarzenegger,0
2,Arnold_Schwarzenegger,0
4,Arnold_Schwarzenegger,0
6,Arnold_Schwarzenegger,0
8,Arnold_Schwarzenegger,0
10,Arnold_Schwarzenegger,0
12,Arnold_Schwarzenegger,0
14,Arnold_Schwarzenegger,0
16,Arnold_Schwarzenegger,0
18,Arnold_Schwarzenegger,0
20,Arnold_Schwarzenegger,0
22,Arnold_Schwarzenegger,0
24,Arnold_Schwarzenegger,0
26,Arnold_Schwarzenegger,0
28,Arnold_Schwarzenegger,0
30,Arnold_Schwarzenegger,0
32,Arnold_Schwarzenegger,0
34,Arnold_Schwarzenegger,0
36,Arnold_Schwarzenegger,0
38,Arnold_Schwarzenegger,0
40,Arnold_Schwarzenegger,0
0,Arnoldo_Aleman,0
2,Arnoldo_Aleman,0
4,Arnoldo_Aleman,0
6,Arnoldo_Aleman,0
8,Arnoldo_Aleman,0
10,Arnoldo_Aleman,0
12,Arnoldo_Aleman,0
14,Arnoldo_Aleman,0
16,Arnoldo_Aleman,0
18,Arnoldo_Aleman,0
20,Arnoldo_Aleman,0
22,Arnoldo_Aleman,0
24,Arnoldo_Aleman,0
26,Arnoldo_Aleman,0
28,Arnoldo_Aleman,0
30,Arnoldo_Aleman,0
32,Arnoldo_Aleman,0
34,Arnoldo_Aleman,0
36,Arnoldo_Aleman,0
38,Arnoldo_Aleman,0
40,Arnoldo_Aleman,0
0,Ashanti,0
2,Ashanti,0
4,Ashanti,0
6,Ashanti,0
8,Ashanti,0
10,Ashanti,0
12,Ashanti,0
14,Ashanti,0
16,Ashanti,0
18,Ashanti,0
20,Ashanti,0
22,Ashanti,0
24,Ashanti,0
26,Ashanti,0
28,Ashanti,0
30,Ashanti,0
32,Ashanti,0
34,Ashanti,0
36,Ashanti,0
38,Ashanti,0
40,Ashanti,0
0,Atal_Bihari_Vajpayee,0
2,Atal_Bihari_Vajpayee,0
4,Atal_Bihari_Vajpayee,0
6,Atal_Bihari_Vajpayee,0
8,Atal_Bihari_Vajpayee,0
10,Atal_Bihari_Vajpayee,0
12,Atal_Bihari_Vajpayee,0
14,Atal_Bihari_Vajpayee,0
16,Atal_Bihari_Vajpayee,0
18,Atal_Bihari_Vajpayee,0
20,Atal_Bihari_Vajpayee,0
22,Atal_Bihari_Vajpayee,0
24,Atal_Bihari_Vajpayee,0
26,Atal_Bihari_Vajpayee,0
28,Atal_Bihari_Vajpayee,0
30,Atal_Bihari_Vajpayee,0
32,Atal_Bihari_Vajpayee,0
34,Atal_Bihari_Vajpayee,0
36,Atal_Bihari_Vajpayee,0
38,Atal_Bihari_Vajpayee,0
40,Atal_Bihari_Vajpayee,0
0,Ben_Affleck,1
2,Ben_Affleck,1
4,Ben_Affleck,0
6,Ben_Affleck,0
8,Ben_Affleck,0
10,Ben_Affleck,0
12,Ben_Affleck,0
14,Ben_Affleck,0
16,Ben_Affleck,0
18,Ben_Affleck,0
20,Ben_Affleck,0
22,Ben_Affleck,0
24,Ben_Affleck,0
26,Ben_Affleck,0
28,Ben_Affleck,0
30,Ben_Affleck,0
32,Ben_Affleck,0
34,Ben_Affleck,0
36,Ben_Affleck,0
38,Ben_Affleck,0
40,Ben_Affleck,0
0,Benazir_Bhutto,0
2,Benazir_Bhutto,0
4,Benazir_Bhutto,0
6,Benazir_Bhutto,0
8,Benazir_Bhutto,0
10,Benazir_Bhutto,0
12,Benazir_Bhutto,0
14,Benazir_Bhutto,0
16,Benazir_Bhutto,0
18,Benazir_Bhutto,0
20,Benazir_Bhutto,0
22,Benazir_Bhutto,0
24,Benazir_Bhutto,0
26,Benazir_Bhutto,0
28,Benazir_Bhutto,0
30,Benazir_Bhutto,0
32,Benazir_Bhutto,0
34,Benazir_Bhutto,0
36,Benazir_Bhutto,0
38,Benazir_Bhutto,0
40,Benazir_Bhutto,0
0,Benjamin_Netanyahu,0
2,Benjamin_Netanyahu,0
4,Benjamin_Netanyahu,0
6,Benjamin_Netanyahu,0
8,Benjamin_Netanyahu,0
10,Benjamin_Netanyahu,0
12,Benjamin_Netanyahu,0
14,Benjamin_Netanyahu,0
16,Benjamin_Netanyahu,0
18,Benjamin_Netanyahu,0
20,Benjamin_Netanyahu,0
22,Benjamin_Netanyahu,0
24,Benjamin_Netanyahu,0
26,Benjamin_Netanyahu,0
28,Benjamin_Netanyahu,0
30,Benjamin_Netanyahu,0
32,Benjamin_Netanyahu,0
34,Benjamin_Netanyahu,0
36,Benjamin_Netanyahu,0
38,Benjamin_Netanyahu,0
40,Benjamin_Netanyahu,0
0,Bernard_Law,0
2,Bernard_Law,0
4,Bernard_Law,0
6,Bernard_Law,0
8,Bernard_Law,0
10,Bernard_Law,0
12,Bernard_Law,0
14,Bernard_Law,0
16,Bernard_Law,0
18,Bernard_Law,0
20,Bernard_Law,0
22,Bernard_Law,0
24,Bernard_Law,0
26,Bernard_Law,0
28,Bernard_Law,0
30,Bernard_Law,0
32,Bernard_Law,0
34,Bernard_Law,0
36,Bernard_Law,0
38,Bernard_Law,0
40,Bernard_Law,0
0,Bertie_Ahern,0
2,Bertie_Ahern,0
4,Bertie_Ahern,0
6,Bertie_Ahern,0
8,Bertie_Ahern,0
10,Bertie_Ahern,0
12,Bertie_Ahern,0
14,Bertie_Ahern,0
16,Bertie_Ahern,0
18,Bertie_Ahern,0
20,Bertie_Ahern,0
22,Bertie_Ahern,0
24,Bertie_Ahern,0
26,Bertie_Ahern,0
28,Bertie_Ahern,0
30,Bertie_Ahern,0
32,Bertie_Ahern,0
34,Bertie_Ahern,0
36,Bertie_Ahern,0
38,Bertie_Ahern,0
40,Bertie_Ahern,0
0,Bill_Clinton,0
2,Bill_Clinton,0
4,Bill_Clinton,0
6,Bill_Clinton,0
8,Bill_Clinton,0
10,Bill_Clinton,0
12,Bill_Clinton,0
14,Bill_Clinton,0
16,Bill_Clinton,0
18,Bill_Clinton,0
20,Bill_Clinton,0
22,Bill_Clinton,0
24,Bill_Clinton,0
26,Bill_Clinton,0
28,Bill_Clinton,0
30,Bill_Clinton,0
32,Bill_Clinton,0
34,Bill_Clinton,0
36,Bill_Clinton,0
38,Bill_Clinton,0
40,Bill_Clinton,0
0,Bill_Frist,0
2,Bill_Frist,0
4,Bill_Frist,0
6,Bill_Frist,0
8,Bill_Frist,0
10,Bill_Frist,0
12,Bill_Frist,0
14,Bill_Frist,0
16,Bill_Frist,0
18,Bill_Frist,0
20,Bill_Frist,0
22,Bill_Frist,0
24,Bill_Frist,0
26,Bill_Frist,0
28,Bill_Frist,0
30,Bill_Frist,0
32,Bill_Frist,0
34,Bill_Frist,0
36,Bill_Frist,0
38,Bill_Frist,0
40,Bill_Frist,0
