env_type,env_id,device_did,collision,re_register,ok
docker,8eafb571047e52d7471f9576805e492e4a6c4806451ed3e4b359702b2bb508a4,didsm9:8eafb571047e52d7471f9576805e492e4a6c4806451ed3e4b359702b2bb508a4@didsm9:user1:aaa:75128a69f391a0e28939cffa4b00537d2a0a8fdfa8908c6182573e6514a32697,0,1,1
docker,7d9cf47b66787bc29ddad0906c943a7b2e058ebdc650db0554df12202e5f2e46,didsm9:7d9cf47b66787bc29ddad0906c943a7b2e058ebdc650db0554df12202e5f2e46@didsm9:user1:aaa:ea8ee52c7d0eed66451dac51fdb895d40ad4dae5dbc9865fb198608e99897a08,0,1,1
docker,6083a8a87e554d3a7491c506cab0fc6dbfebd8afee406a6c4e941c37cc5e113d,didsm9:6083a8a87e554d3a7491c506cab0fc6dbfebd8afee406a6c4e941c37cc5e113d@didsm9:user1:aaa:ca37f150b1fc22bf52d0962807561da9c7389aafd0208f84138c65b71c221efa,0,1,1
docker,3f6177be43a28b49bd040a26d1ac7193bf48178e84ba3adafc3cae776848172a,didsm9:3f6177be43a28b49bd040a26d1ac7193bf48178e84ba3adafc3cae776848172a@didsm9:user1:aaa:a48e43918d636058d7a532915e1b899fd7672abb31aa9c1471457d45887bd0d6,0,1,1
docker,6687819934cc72c30027484c8fd542cfd5e689fe7b9e0fa70e292262b7392403,didsm9:6687819934cc72c30027484c8fd542cfd5e689fe7b9e0fa70e292262b7392403@didsm9:user1:aaa:677d30b64ecc55eea63264bfcf2fe04e9cc4a593aec7ecf116914246fe4d8a28,0,1,1
docker,c4fe1c045ebbc79fb07381bbe1b6a57cc622570786685b75525b7e09fef60795,didsm9:c4fe1c045ebbc79fb07381bbe1b6a57cc622570786685b75525b7e09fef60795@didsm9:user1:aaa:0b2234b8f58ec7d82c3fe99ce39868d96497c9f85f13f20ca6b32a9cfe26e0b3,0,1,1
docker,aef32f17c434c9e1d25004614696de50f91d7416b003342918c269974667a43a,didsm9:aef32f17c434c9e1d25004614696de50f91d7416b003342918c269974667a43a@didsm9:user1:aaa:d7f9264619bfc7ef9d1edf9ac069b03885caa30c9639b4ef548a5eb7f6725a23,0,1,1
docker,832222d667e749aeea66365b703e68eeb155a935ff2747cf6ea560abda1cae1f,didsm9:832222d667e749aeea66365b703e68eeb155a935ff2747cf6ea560abda1cae1f@didsm9:user1:aaa:d6e6891a84cdd6956ef1478cb975a5bbd38400b8e429143bdd42de74e071e1fc,0,1,1
docker,6dc5a529360080227c12f10eb963e3c83024ab7425701e3f9ff939017a259b38,didsm9:6dc5a529360080227c12f10eb963e3c83024ab7425701e3f9ff939017a259b38@didsm9:user1:aaa:9bde71006d8de4fa8bebe0314620da91228e89680c57e181d5bc4547c1c159cb,0,1,1
docker,f99dc74ddc8445ce255ecbfe1f189074b20792212fd66ae55b77ab71b8d4f439,didsm9:f99dc74ddc8445ce255ecbfe1f189074b20792212fd66ae55b77ab71b8d4f439@didsm9:user1:aaa:93e76adfcd3f61d13c075ddf5114f614e7f31c5fd2bc1a561aa43a3e213f6cc3,0,1,1
docker,c565cc8b10ac2b33edca5a5c1e479572ab02c9e2d779f720f639ffee356e0e97,didsm9:c565cc8b10ac2b33edca5a5c1e479572ab02c9e2d779f720f639ffee356e0e97@didsm9:user1:aaa:69b3b99a31ea55f1432474cc99aab22ade012d2b81096ca3b77caa959757e0db,0,1,1
docker,a053bd3696d1e01784866de6bdcba9b6dc8be7662cdb95ed92a5d29812fcfb62,didsm9:a053bd3696d1e01784866de6bdcba9b6dc8be7662cdb95ed92a5d29812fcfb62@didsm9:user1:aaa:7322408b328079c520d7d63a9c9c09ce9b93554f11a42cf7891d1e7abdb37f2f,0,1,1
docker,10b5e8f05d318013d3cbfcde274882f797d92da13a4f053980bbc15dfb2d8cf6,didsm9:10b5e8f05d318013d3cbfcde274882f797d92da13a4f053980bbc15dfb2d8cf6@didsm9:user1:aaa:ab7bea4722d95b42e6a3079c77015d05c270c1727ac65d1264eab718a005810b,0,1,1
docker,178289a967567ec8f2db7a5f89cbca83e7aadf9374633efe9ebb6c16377b82d2,didsm9:178289a967567ec8f2db7a5f89cbca83e7aadf9374633efe9ebb6c16377b82d2@didsm9:user1:aaa:b20b92768a4bcef6550e2f992746b20d7cdb54a1b5ba555de5600ae76a5a36af,0,1,1
