scheme,concurrency,p50_ms,p90_ms,p99_ms,qps,msg_bytes
ours,100,89211.56404300,107410.92665480,140762.30365641,0.81493287,2261
ours,500,497418.95925250,511257.10654860,512280.90097581,0.76089025,2262
oauth,100,0.00046200,0.00094520,0.00227739,102642.76376663,115
oauth,500,0.00091750,0.00125030,0.00254305,30093.43318909,115
#meta {"seed": 20260817, "n_req": 1000, "concurrency": [100, 500]}
