N,scheme,admit_p50_ms,admit_p90_ms,throughput_mbps,e2e_latency_ms,loss_rate,relay_cpu_pct,relay_mem_mb
10,st_ticket_sm9,713.70094500,719.91906120,0.65623360,37.88249500,0.00000000,0.00000000,0.00000000
50,st_ticket_sm9,708.65655000,721.10309200,0.75759360,226.93155450,0.00000000,0.00000000,0.00000000
100,st_ticket_sm9,716.65570000,763.84503910,1.91425600,248.06745500,0.00000000,0.00000000,0.00000000
200,st_ticket_sm9,712.32140700,727.77861190,5.67326400,160.15384600,0.00000000,0.00000000,0.00000000
10,openvpn,110.08715050,113.41083250,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
#meta {"seed": 20260817, "openvpn_dataplane": "simulated"}
